WORD,POS,TYPE,Count in Pairs,Word Frq in Corpus,Word Frq Level
abadiy,ADJ,inflectional,2,117,high
abadiylik,NOUN,derivational,1,80,high
abgor,ADJ,root,1,23,med
ablah,NOUN,root,1,1,low
ablahlik,NOUN,derivational,1,1,oov
abstraktlashtir,VERB,inflectional,1,7,oov
achigan,VERB,inflectional,1,4,low
adad,NOUN,root,1,161,high
adolatsiz,ADJ,inflectional,1,9,med
adras,NOUN,root,1,125,high
aeroport,NOUN,root,1,1114,high
afsungar,NOUN,derivational,1,32,med
afsunkor,NOUN,derivational,1,1,low
afzal,ADJ,root,1,11,med
ahlat,NOUN,root,1,63,high
aholi,NOUN,root,1,5518,high
ahvol,NOUN,root,1,2931,high
ajabtovur,ADJ,derivational,2,50,high
ajdod,NOUN,root,1,1982,high
ajnabiy,ADJ,derivational,1,42,med
ajoyibot,NOUN,derivational,1,48,med
ajralma,NOUN,derivational,1,416,high
ajratish,VERB,inflectional,3,1268,high
ajriq,NOUN,root,1,2,low
akrobatika,NOUN,root,1,48,med
alda,VERB,root,1,21,med
alifbo,NOUN,root,2,453,high
aljira,VERB,root,2,6,med
alkogol,NOUN,root,1,183,high
alloh,NOUN,root,1,117,high
aloqa,NOUN,root,2,3306,high
alpinist,NOUN,root,1,49,med
an'ana,NOUN,root,1,33,med
andoza,NOUN,root,1,1105,high
angla,VERB,root,1,5,low
anhor,NOUN,root,1,98,high
aniqlashtir,VERB,inflectional,2,227,high
aniqlik,NOUN,derivational,1,613,high
anjir,NOUN,root,1,57,high
anjuman,NOUN,root,2,6047,high
antenna,NOUN,root,1,126,high
apelsin,NOUN,root,1,37,med
aqlli,ADJ,derivational,3,1,low
aqlsiz,ADJ,inflectional,2,9,med
aralash,VERB,inflectional,1,5,low
aralashtir,VERB,inflectional,2,48,med
arazchi,NOUN,inflectional,1,1,low
archa,NOUN,root,1,282,high
ardoqla,VERB,derivational,1,224,high
arifmetika,NOUN,root,2,48,med
ariq,NOUN,root,1,272,high
arizachi,NOUN,derivational,1,47,med
armiya,NOUN,root,2,371,high
arrala,VERB,derivational,1,2,low
arteriya,NOUN,root,1,935,high
arxeologiya,NOUN,root,1,295,high
arxitekturaviy,ADJ,derivational,1,1,low
arzanda,ADJ,root,2,25,med
arzigulik,ADJ,derivational,1,9,med
arzimas,ADJ,inflectional,1,9,med
arzon,ADJ,root,1,1155,high
asabiylashtir,VERB,inflectional,1,11,med
asbob,NOUN,root,3,1288,high
ashula,NOUN,root,1,41,med
ashyo,NOUN,root,1,1015,high
asl,ADJ,root,1,2637,high
asorat,NOUN,root,1,359,high
asoslanib,VERB,inflectional,1,3,low
astma,NOUN,root,1,38,med
astronomiya,NOUN,root,3,347,high
atalgan,VERB,inflectional,1,5882,high
atir,NOUN,root,1,10,med
atirgul,NOUN,root,1,207,high
atmosfera,NOUN,root,1,104,high
avalgi,ADJ,root,1,1432,high
avlod,NOUN,root,3,390,high
avtobus,NOUN,root,1,1376,high
avtomashina,NOUN,root,1,678,high
avtomobil,NOUN,root,1,4364,high
avval,ADJ,root,1,1915,high
axloqsiz,ADJ,inflectional,3,6,med
ayb,NOUN,root,1,53,high
ayiq,NOUN,root,1,1,oov
aylantir,VERB,inflectional,1,11,med
aynigan,VERB,inflectional,1,4,low
ayol,NOUN,root,5,242,high
ayovsiz,ADJ,inflectional,1,104,oov2
ayqash,VERB,root,2,5,low
ayriliq,NOUN,inflectional,2,62,high
ayyom,NOUN,root,1,614,high
ayyorlik,NOUN,derivational,1,4,low
aziyat,NOUN,root,2,332,high
aziz,ADJ,root,1,2742,high
azob,NOUN,root,1,18,med
azon,NOUN,root,1,7,med
bachadon,NOUN,derivational,1,137,high
badal,NOUN,root,2,329,high
badavlat,ADJ,derivational,2,219,high
badjahl,ADJ,derivational,2,11,med
bag'ishlan,VERB,inflectional,1,5882,high
baho,NOUN,root,1,3645,high
bahor,NOUN,root,1,710,high
bahs,NOUN,root,1,249,high
bahsli,ADJ,root,1,3,low
bajartir,VERB,inflectional,1,244,high
bajaruvchi,NOUN,derivational,1,1626,high
bakteriya,NOUN,root,1,123,high
baland,ADJ,root,1,13,med
balandlat,VERB,inflectional,1,8,med
bandlik,NOUN,derivational,1,362,high
bankrotlik,NOUN,derivational,1,148,high
baqir,VERB,inflectional,1,8,med
barakali,ADJ,derivational,1,9,med
bardam,ADJ,root,2,11,med
barg,NOUN,root,3,3182,high
barmoq,NOUN,root,1,628,high
barobar,ADJ,root,2,2316,oov2
barpo,NOUN,root,1,5687,high
barqaror,ADJ,derivational,1,3385,high
barxayot,ADJ,derivational,1,117,oov2
bashariyat,NOUN,root,1,140,high
basketbol,NOUN,root,1,93,high
bayon,NOUN,root,1,325,high
bayonot,NOUN,root,2,499,high
bayram,NOUN,root,1,614,high
bayt,NOUN,root,1,44,med
bedor,ADJ,derivational,2,86,high
bedorlik,NOUN,derivational,1,38,med
behalovat,ADJ,derivational,2,28,med
behayo,ADJ,derivational,2,169,high
behayolik,NOUN,derivational,1,4,oov
behol,ADJ,derivational,2,9,med
bemajol,NOUN,derivational,1,1,low
bemajollik,NOUN,derivational,1,1,low
bemalol,ADJ,derivational,1,13,med
bemaza,ADJ,derivational,4,19,med
bemor,ADJ,root,4,2156,oov2
benikoh,ADJ,derivational,1,13,med
benuqson,ADJ,derivational,1,44,med
benzin,NOUN,root,1,189,high
beor,ADJ,derivational,2,6,med
beorom,ADJ,derivational,1,19,med
beparda,ADJ,derivational,1,11,med
beparvolik,NOUN,derivational,2,154,high
bepul,ADJ,derivational,1,228,high
beqaror,NOUN,derivational,1,775,high
beqasam,NOUN,derivational,1,36,med
berahm,ADJ,derivational,2,10,med
berk,ADJ,root,2,11,med
berkit,VERB,inflectional,2,6,med
besabrlik,NOUN,derivational,1,3,low
besaranjom,ADJ,derivational,1,7,med
beshafqat,ADJ,inflectional,1,61,high
betamizlik,NOUN,derivational,1,1,oov
betaraf,ADJ,derivational,1,730,high
betashvish,ADJ,derivational,1,13,med
betayin,ADJ,derivational,1,13,med
betayinlik,NOUN,derivational,1,1,low
betob,ADJ,derivational,2,120,oov2
betoqat,ADJ,derivational,2,1,low
bevafo,ADJ,derivational,2,19,med
bexabar,ADJ,derivational,1,7,med
bexavotir,ADJ,derivational,1,24,med
bezantir,VERB,inflectional,2,5,low
bezarar,ADJ,derivational,2,10,med
bezbetlik,NOUN,derivational,2,2,low
beziyon,ADJ,derivational,2,12,med
bezovta,ADJ,root,1,28,med
bidirla,VERB,derivational,1,8,med
bilag'on,ADJ,derivational,1,10,med
bildir,VERB,inflectional,1,34,med
bilimdon,ADJ,derivational,1,10,med
bilimli,ADJ,derivational,2,7,med
bino,NOUN,root,3,3458,high
birdamlik,NOUN,derivational,3,234,high
birgina,ADJ,inflectional,1,173,high
birikma,NOUN,derivational,2,416,high
birlashgan,ADJ,inflectional,1,116,high
birlashish,NOUN,inflectional,2,299,high
birlashma,NOUN,derivational,2,2698,high
birlashtir,VERB,inflectional,2,1918,high
birlashtirish,VERB,inflectional,3,103,oov
biroz,ADJ,root,1,1703,high
bitik,NOUN,root,1,622,high
bitim,NOUN,root,1,923,high
bitir,VERB,inflectional,1,1387,high
biyron,ADJ,root,4,28,med
bodring,NOUN,root,1,213,high
bog',NOUN,root,2,214,high
bog'bon,NOUN,derivational,1,229,high
boks,NOUN,root,1,351,high
bo'laklash,VERB,inflectional,3,1268,high
bo'linish,NOUN,inflectional,1,299,high
bo'ron,NOUN,root,1,33,med
bo'sag'a,NOUN,root,2,95,high
bosh,NOUN,root,1,290,high
bo'sh,ADJ,root,2,2378,oov2
bosh kiyim,NOUN,root,1,1,low
bo'shat,VERB,inflectional,1,359,high
bo'shatish,NOUN,inflectional,1,49,med
boshlang'ich,ADJ,derivational,3,3175,high
boshlash,VERB,inflectional,4,618,high
boshliq,NOUN,derivational,1,4490,high
boshpana,NOUN,root,2,53,high
boshpanasiz,ADJ,inflectional,1,23,med
boshqarma,NOUN,derivational,1,7149,high
bosmaxona,NOUN,derivational,3,181,high
bosqichli,ADJ,derivational,1,8,med
bosqinchi,NOUN,derivational,1,1,low
bosqinchilik,NOUN,derivational,2,67,high
botanika,NOUN,root,2,202,high
botir,ADJ,root,1,44,med
boylik,NOUN,derivational,2,2799,high
bug'doy,NOUN,root,2,293,high
buk,VERB,root,1,3,low
bukiluvchan,ADJ,derivational,1,7,med
bulg'at,VERB,inflectional,1,2,low
buloq,NOUN,root,1,155,high
bunyod,NOUN,root,1,5687,high
bunyodkorlik,NOUN,derivational,1,2173,high
burch,NOUN,root,1,2476,high
burgut,NOUN,root,2,98,high
burro,ADJ,root,2,18,med
buta,NOUN,root,1,122,high
butun,ADJ,root,1,566,high
buvi,NOUN,root,1,389,high
buyrak,NOUN,root,2,289,high
buyruq,NOUN,root,1,428,high
buyuklik,NOUN,derivational,1,101,high
buyum,NOUN,root,3,2488,high
buzdir,VERB,inflectional,2,17,med
buzish,NOUN,inflectional,2,352,high
buzuq,ADJ,root,2,86,high
chalajon,ADJ,derivational,1,3,low
chalkash,VERB,derivational,1,5,low
chalkashtir,VERB,inflectional,3,48,med
chamala,VERB,derivational,1,6,med
chamalash,VERB,inflectional,1,5,low
changallab,VERB,derivational,1,1,low
chanqa,VERB,root,1,4,low
chap,ADJ,root,1,728,high
chapdast,ADJ,root,2,7,med
chaqimchilik,NOUN,derivational,1,3,oov
chaqqon,ADJ,root,1,99,high
chaqqonlash,VERB,inflectional,2,5,low
chaqqonlik,NOUN,derivational,2,83,high
charchagan,ADJ,inflectional,2,21,med
charchat,VERB,inflectional,1,43,med
charog'on,ADJ,root,1,59,high
chashma,NOUN,root,1,155,high
chavoqla,VERB,derivational,1,1,oov
chayla,NOUN,derivational,1,43,med
chayon,NOUN,root,2,69,high
chegara,NOUN,root,2,311,high
chegirma,NOUN,root,1,223,high
chehra,NOUN,root,1,337,high
cheksiz,ADJ,inflectional,1,25,med
chertish,VERB,inflectional,1,30,med
chidamli,ADJ,derivational,3,50,high
chigallashtir,VERB,inflectional,1,24,med
chinor,NOUN,root,2,164,high
chiqish,VERB,inflectional,1,23,med
chiqit,NOUN,root,1,63,high
chiroq,NOUN,root,1,60,high
chiroy,NOUN,root,1,281,high
chiroyli,ADJ,derivational,4,123,oov2
chishirish,VERB,inflectional,1,1,low
chivin,NOUN,root,1,211,high
chizdir,VERB,inflectional,2,19,med
cho'chit,VERB,inflectional,3,34,med
chodir,NOUN,root,1,72,high
cho'l,NOUN,root,1,224,high
cho'miltir,VERB,inflectional,1,8,med
cho'ntak,NOUN,root,1,391,high
cho'pon,NOUN,root,1,1,oov
chopqir,ADJ,root,1,30,med
chorvachilik,NOUN,derivational,1,1117,high
choynak,NOUN,root,3,64,high
cho'zinchoq,ADJ,inflectional,1,11,med
chuchvara,NOUN,root,2,49,med
chumchuq,NOUN,root,1,39,med
chumoli,NOUN,derivational,1,4,low
chuqur,ADJ,root,1,1,low
chuvalashtir,VERB,inflectional,2,2,low
dada,NOUN,root,1,509,high
dag'al,ADJ,root,3,20,med
dag'allash,VERB,inflectional,1,8,med
dakki,NOUN,root,1,1,low
dala,NOUN,root,4,560,high
dala xaydash,VERB,inflectional,1,19,med
dalalar,NOUN,inflectional,1,4,low
dangasa,ADJ,root,4,50,high
dang'illama,ADJ,derivational,1,30,med
daraksiz,ADJ,inflectional,1,7,med
daraxt,NOUN,root,5,2519,high
daraxtzor,NOUN,derivational,1,61,high
darbadar,ADJ,root,1,18,med
dardlash,VERB,derivational,1,21,med
dardli,ADJ,derivational,3,3,low
dardmand,ADJ,derivational,4,12,med
darg'azab,ADJ,derivational,1,17,med
darmonsiz,ADJ,inflectional,1,7,med
daromadli,ADJ,derivational,1,7,med
daroz,ADJ,root,2,9,med
darslik,NOUN,derivational,2,3110,high
darvozabon,NOUN,derivational,1,197,high
daryo,NOUN,root,2,373,high
dasta,NOUN,root,1,1,low
dastgoh,NOUN,derivational,1,355,high
dastlab,ADJ,root,1,1915,high
dastlabki,ADJ,inflectional,1,3175,high
dastur,NOUN,root,1,17,med
dastxat,NOUN,root,1,116,high
davlat,NOUN,root,3,53187,high
da'vogar,NOUN,derivational,1,47,med
davolash,NOUN,inflectional,1,397,high
davriy,NOUN,derivational,1,123,high
daxshatli,ADJ,derivational,1,24,med
daydi,ADJ,root,1,18,med
demokratik,ADJ,root,1,5754,high
deraza,NOUN,root,1,438,high
devona,ADJ,root,1,57,high
diabet,NOUN,root,2,324,high
dindor,ADJ,derivational,1,177,oov2
direktor,NOUN,root,1,2891,high
diydira,VERB,root,1,1,low
diyor,NOUN,root,1,738,high
doimiy,ADJ,derivational,5,5561,high
doimo,NOUN,root,1,2180,high
doirasimon,ADJ,inflectional,1,7,med
do'kon,NOUN,root,2,2175,high
don,NOUN,root,1,341,high
dongdor,ADJ,derivational,1,22,med
donolik,NOUN,derivational,1,62,high
dori,NOUN,root,3,437,high
dorixona,NOUN,derivational,1,437,high
doska,NOUN,root,1,256,high
do'st,NOUN,root,1,571,high
do'stlik,NOUN,derivational,2,288,high
dovon,NOUN,root,1,251,high
dovul,NOUN,root,2,33,med
dovyurak,ADJ,derivational,2,44,med
do'zax,NOUN,root,2,49,med
dugoh,NOUN,root,1,41,med
dugona,NOUN,root,1,571,high
dukkakli o'simlik,NOUN,root,1,59,high
dumalat,VERB,inflectional,2,11,med
dumaloq,ADJ,derivational,1,61,high
dumbul,ADJ,root,1,6,med
dunyoqarash,NOUN,derivational,1,1757,high
duradgorlik,NOUN,derivational,2,110,high
dushmanlik,NOUN,derivational,1,62,high
egarlan,VERB,inflectional,1,5,low
egiltir,VERB,inflectional,1,1,low
egiluvchan,ADJ,inflectional,2,8,med
egri,ADJ,root,1,402,high
ehson,NOUN,root,3,1,low
ehtiyoj,NOUN,root,1,4214,high
ekinzor,NOUN,derivational,2,105,high
ekipaj,NOUN,root,1,108,high
ekspeditsiya,NOUN,root,1,374,high
eksponant,NOUN,root,1,3351,high
eksponat,NOUN,root,3,512,high
eksport,NOUN,root,1,1140,high
ekspozitsiya,NOUN,root,1,375,high
ekstremizm,NOUN,root,1,451,high
element,NOUN,root,4,230,high
emlash,NOUN,root,1,466,high
energiya,NOUN,root,1,4079,high
epchil,ADJ,root,1,7,med
epchillik,NOUN,derivational,1,69,high
erkalat,VERB,inflectional,1,4,low
erkatoy,ADJ,derivational,1,25,med
erkin,ADJ,root,1,4548,high
erkinlik,NOUN,derivational,1,3698,high
erta,ADJ,root,1,29,med
eshak,NOUN,root,1,2,low
eshik,NOUN,root,1,95,high
eshituvchi,NOUN,derivational,1,1526,high
eski,ADJ,root,2,1786,high
e'tiborlilik,NOUN,inflectional,1,154,high
ezgulik,NOUN,derivational,3,1096,high
ezma,ADJ,root,4,9,med
e'zozla,VERB,derivational,1,224,high
fahmlash,VERB,inflectional,1,8,med
falakiyot,NOUN,derivational,1,347,high
falokat,NOUN,root,1,728,high
fan,NOUN,root,3,347,high
faqirlik,NOUN,derivational,1,18,med
farovonlik,NOUN,derivational,1,4149,high
farq,NOUN,root,1,234,high
faryod,NOUN,root,1,63,high
farzand,NOUN,root,1,10,low
fasl,NOUN,root,2,710,high
favvora,NOUN,root,1,226,high
faxmla,VERB,derivational,1,5,low
faxriy,ADJ,derivational,2,1804,oov2
fazo,NOUN,root,2,989,high
fazoviy,ADJ,inflectional,1,123,high
fikr,NOUN,root,1,2266,high
film,NOUN,root,1,5664,high
fiziologiya,NOUN,root,1,154,high
fond,NOUN,root,1,4603,high
fonetika,NOUN,root,1,51,high
fosiqlik,NOUN,derivational,1,3,low
foyda,NOUN,root,1,449,high
foydali,ADJ,derivational,3,87,high
futbol,NOUN,root,1,197,high
g'alaba,NOUN,root,2,1383,high
g'amgin,ADJ,derivational,3,57,high
g'amlan,VERB,inflectional,1,17,oov
g'amxo'rlik,NOUN,derivational,1,2034,high
gapdon,ADJ,derivational,1,1,low
gapir,VERB,inflectional,2,6,med
gapirish,NOUN,inflectional,1,247,high
gapirtir,VERB,inflectional,2,17,med
gaplash,VERB,inflectional,1,4,low
g'aribona,ADJ,derivational,1,46,med
garmdori,NOUN,root,1,15,med
g'aroyib,ADJ,root,1,238,oov2
g'aroyibot,NOUN,derivational,1,48,med
gavda,NOUN,root,1,1890,high
gavjum,ADJ,root,3,624,high
g'avvos,NOUN,root,2,2,low
g'ayratlantir,VERB,inflectional,1,223,high
g'ayritabiiy,ADJ,inflectional,1,50,high
gaz,NOUN,root,2,260,high
g'azablantir,VERB,inflectional,2,11,med
g'azabli,ADJ,derivational,1,11,med
gazanda,NOUN,root,1,1,low
gazeta,NOUN,root,1,236,high
geologiya,NOUN,root,1,317,high
geometriya,NOUN,root,2,153,high
gerb,NOUN,root,1,1425,high
gidroinshoot,NOUN,derivational,1,104,high
gilos,NOUN,root,1,100,high
gimnastikachi,NOUN,derivational,1,339,high
ginachi,NOUN,derivational,1,1,low
giyohlar,NOUN,inflectional,1,69,high
go'dak,NOUN,root,1,102,high
gondola,NOUN,root,1,1,low
gorizontal,NOUN,root,1,122,high
go'shtxo'r,ADJ,derivational,3,1,oov
go'zallik,NOUN,derivational,1,381,high
grammatika,NOUN,root,1,137,high
gul,NOUN,root,3,3182,high
gulsapsar,NOUN,derivational,1,1,low
gulzor,NOUN,derivational,2,214,high
gumashta,NOUN,root,2,16,med
gumonsira,VERB,derivational,1,6,med
gunohkor,ADJ,derivational,1,1,low
gunohsiz,ADJ,inflectional,1,1,low
g'urbat,NOUN,root,1,18,med
guruch,NOUN,root,1,341,high
guruhla,VERB,derivational,3,795,high
g'urur,NOUN,root,1,1038,high
g'ururli,ADJ,derivational,2,1,low
g'urursiz,ADJ,inflectional,2,1,low
hajm,NOUN,root,3,215,high
halokat,NOUN,root,1,728,high
halol,ADJ,root,2,781,high
halqasimon,ADJ,derivational,1,7,med
hamjamiyat,NOUN,derivational,1,1791,high
hamjihat,ADJ,derivational,2,8,med
hamyurt,NOUN,derivational,1,1597,high
haqoratla,VERB,inflectional,1,272,high
harir,ADJ,root,2,20,med
harom,ADJ,root,3,127,high
hashamatli,ADJ,derivational,1,30,med
hashamdor,ADJ,derivational,2,13,med
hasharot,NOUN,root,2,211,high
havo,NOUN,root,1,93,high
havoyi,ADJ,derivational,1,30,med
havza,NOUN,root,3,1212,high
hayalla,VERB,derivational,1,3,low
hayiqtir,VERB,inflectional,3,1,low
hayolchanlik,NOUN,derivational,1,1,oov2
hayoli,ADJ,derivational,2,169,oov2
hayosiz,ADJ,inflectional,3,8,med
hayratlantir,VERB,inflectional,1,6,med
hibs,NOUN,root,1,222,high
hijron,NOUN,root,1,62,high
himoyachi,NOUN,derivational,1,368,high
hirmon,NOUN,root,2,346,oov2
his qil,VERB,root,1,168,high
hisoblash,VERB,inflectional,1,5,low
hissiyot,NOUN,root,2,268,high
hodisa,NOUN,root,1,3159,high
hokisor,ADJ,root,1,23,oov2
holat,NOUN,root,2,4773,high
honadon,NOUN,derivational,2,2513,oov2
ho'ngra,VERB,derivational,1,11,med
ho'pla,VERB,root,2,11,med
horg'in,ADJ,root,2,21,med
hosil,NOUN,root,1,346,high
hosildor,ADJ,derivational,3,74,high
hotima,NOUN,root,2,42,oov2
hovli,NOUN,derivational,2,2513,high
hovuz,NOUN,root,1,205,high
hozirgi,ADJ,derivational,2,8287,high
hromosoma,NOUN,root,1,50,oov2
hujayra,NOUN,root,2,1890,high
hujra,NOUN,root,1,53,high
hukumati,NOUN,inflectional,1,1791,high
humo,NOUN,root,1,167,high
hunar,NOUN,root,1,347,high
hurkit,VERB,inflectional,1,3,low
hurpaytir,VERB,inflectional,1,1,low
husndor,ADJ,derivational,1,1,low
huzurbaxsh,ADJ,derivational,1,19,med
ibodat,NOUN,root,1,247,high
ibodatxona,NOUN,derivational,2,58,high
iboli,ADJ,derivational,4,169,high
ich,VERB,root,2,11,med
ichimlik,NOUN,derivational,2,2063,high
idish,NOUN,root,3,842,high
idora,NOUN,root,1,4196,high
iflos,ADJ,root,3,97,high
ifodalan,VERB,inflectional,1,5,low
iftixor,NOUN,root,1,1038,high
igna,NOUN,root,1,355,high
ijobiy,NOUN,derivational,1,4131,high
ijozat,NOUN,root,1,232,high
ijrochi,NOUN,derivational,1,1626,high
ildam,ADJ,root,1,118,high
ildamlat,VERB,inflectional,1,2,low
ilg'or,ADJ,root,2,2876,high
ilhomlantir,VERB,inflectional,1,121,high
ilmli,ADJ,derivational,1,9,med
ilmparvar,NOUN,derivational,1,2,low
ilmsiz,ADJ,inflectional,1,7,med
ilojsizlik,NOUN,derivational,1,46,med
iltijo,NOUN,root,1,92,high
imlo,NOUN,root,2,164,high
imorat,NOUN,root,1,1230,high
import,NOUN,root,1,1140,high
imtihon,NOUN,root,1,4352,high
imzo,NOUN,root,1,116,high
injil,NOUN,root,1,107,high
injiq,NOUN,root,1,1,oov
inontir,VERB,inflectional,2,1,low
inoq,ADJ,root,1,44,med
inoqlik,NOUN,derivational,1,55,high
inqoroz,NOUN,root,1,1037,high
insho,NOUN,root,2,325,high
inshoot,NOUN,root,2,3458,high
insofli,ADJ,derivational,1,19,med
insoniyat,NOUN,derivational,3,1758,high
insonparvarlik,NOUN,derivational,1,720,high
ipakchilik,NOUN,derivational,1,51,high
iqbol,NOUN,root,1,419,high
iqtisod,NOUN,root,1,4770,high
iqtisodiy,ADJ,derivational,2,18470,high
iqtisodiyot,NOUN,derivational,1,148,high
irg'at,VERB,inflectional,1,1,low
irqchilik,NOUN,derivational,1,32,med
ishbilarmonlik,NOUN,derivational,1,303,high
ishonch,NOUN,root,1,428,high
ishontir,VERB,inflectional,1,1,low
ishora,NOUN,root,1,1554,high
ishsizlik,NOUN,inflectional,2,362,high
ishtirokchi,NOUN,derivational,2,8444,high
ishtiyoq,NOUN,root,1,2698,high
ishtiyoqsiz,ADJ,inflectional,1,1,low
isitish,NOUN,inflectional,1,387,high
isqirt,ADJ,root,1,9,med
issiq,ADJ,root,1,1030,high
issiqlik,NOUN,derivational,2,1089,high
iste'dod,NOUN,root,1,149,high
istiqlol,NOUN,root,1,5096,high
it,NOUN,root,1,229,high
ivirsit,VERB,inflectional,1,1,oov
ixtisoslan,VERB,inflectional,1,5,low
ixtisoslashtir,VERB,inflectional,1,1683,high
iymon,NOUN,root,3,428,high
izlash,NOUN,inflectional,2,435,high
izlattir,VERB,inflectional,1,2,low
iznsiz,ADJ,inflectional,1,12,med
jabduqlan,VERB,inflectional,1,5,low
jabr,NOUN,root,1,1,low
jabrlan,VERB,inflectional,1,11,med
jabrlanuvchi,NOUN,derivational,1,148,high
jadal,ADJ,root,2,2306,high
jadallashtir,VERB,inflectional,2,618,high
jadallat,VERB,inflectional,1,2,low
jadval,NOUN,root,2,2037,high
jahannam,NOUN,root,2,49,med
jamg'arma,NOUN,root,1,4603,high
jamiyat,NOUN,root,2,24655,high
jamoatchilik,NOUN,derivational,1,5518,high
jamol,NOUN,root,1,281,high
jang,NOUN,root,3,2998,high
janjalkash,NOUN,derivational,1,1,low
janjallash,VERB,derivational,2,20,med
janjalli,ADJ,derivational,1,1,oov
jannat,NOUN,root,2,49,med
jarahotlan,VERB,inflectional,1,65,high
jarangdor,ADJ,derivational,1,13,med
jarohat,NOUN,root,2,332,high
jarohatlantir,VERB,inflectional,1,8,med
jaroxatlan,VERB,inflectional,1,190,oov2
jasorat,NOUN,root,1,298,high
jasoratli,ADJ,derivational,1,1,low
jasur,ADJ,root,2,628,high
javobgar,NOUN,derivational,1,1343,high
javohir,NOUN,root,1,291,high
jazo,NOUN,root,2,154,high
jihoz,NOUN,root,2,355,high
jilmay,VERB,inflectional,1,28,med
jilmayish,NOUN,inflectional,4,32,med
jilovla,VERB,derivational,1,19,med
jimirlat,VERB,inflectional,1,2,low
jimlik,NOUN,derivational,2,137,high
jinoyat,NOUN,root,3,104,high
jinoyatchilik,NOUN,derivational,1,533,high
jipslashtir,VERB,inflectional,1,1918,high
jipslik,NOUN,derivational,1,234,high
jism,NOUN,root,1,1890,high
jizzaki,ADJ,derivational,1,9,med
jodugar,NOUN,derivational,1,32,med
jo'nat,VERB,root,2,1622,high
jonivor,NOUN,root,1,402,high
joriy,ADJ,root,2,14951,high
joy,NOUN,root,3,9471,high
joylashtir,VERB,inflectional,2,3230,high
jozibador,ADJ,derivational,1,198,oov2
jozibali,ADJ,derivational,1,9,med
judolik,NOUN,derivational,1,53,high
jumboq,NOUN,root,2,83,high
kaft,NOUN,root,2,228,high
kalamush,NOUN,root,1,75,high
kalit,NOUN,root,1,1288,high
kalta,ADJ,root,3,123,high
kaltaklan,VERB,inflectional,2,11,med
kamaytir,VERB,inflectional,5,2,low
kambag'al,ADJ,root,3,236,oov2
kamchilik,NOUN,derivational,1,3418,high
kamgap,ADJ,derivational,3,18,med
kamhosil,ADJ,derivational,2,3,low
kamqonlik,NOUN,derivational,1,191,high
kamquvvatlik,NOUN,derivational,1,1,low
kamsit,VERB,inflectional,1,272,high
kamsitilgan,VERB,inflectional,1,2,oov
kamsuqum,ADJ,derivational,2,24,med
kamtar,ADJ,root,3,83,high
kamyob,NOUN,derivational,1,2102,high
kapalak,NOUN,root,1,179,high
karam,NOUN,root,2,1,low
kardiologiya,NOUN,root,1,129,high
kasal,ADJ,root,2,1,low
kasalik,NOUN,derivational,1,191,high
kasallik,NOUN,derivational,5,1262,high
kasalmant,ADJ,derivational,1,27,oov2
